id,title,parts,n_parts,date
63a2eb42889943f00c7eb173,Course Introduction,"['Course Induction', 'Course Overview And Dashboard Description', 'Introduction Of Data Industry', 'Lab Introduction', 'Support System Introduction', 'Community Introduction']",6,28-Jan-2023
63a2eb4288994306ac7eb17a,Python Basic,"['Introduction Of Python And Comparison With Other Programming Language', 'Python Objects, Number & Booleans, Strings.', 'Container Objects, Mutability Of Objects']",3,29-Jan-2023
63a2eb428899437b3e7eb17e,Python Basic,"[""Operators - Arithmetic, Bitwise, Comparison And Assignment Operators, Operator's Precedence And Associativity"", 'Conditions (If Else, If-Elif-Else), Loops (While, For)', 'Break And Continue Statement And Range Function']",3,30-Jan-2023
63a2eb4288994384a87eb182,String Objects,"['Basic Data Structure In Python', 'String Object Basics', 'String Inbuilt Methods', 'Splitting And Joining Strings', 'String Format Functions']",5,31-Jan-2023
63a2eb42889943847b7eb188,List Object Basics,"['List Methods', 'List As Stack And Queues', 'List Comprehensions']",3,1-Feb-2023
63a2eb4288994331957eb18c,"Tuples, Set, Dictionaries & Its Function","['Tuples, Sets & Dictionary Object Methods', 'Dictionary Comprehensions', 'Dictionary View Objects']",3,2-Feb-2023
63a2eb42889943121a7eb190,Function,"['Functions Basics, Parameter Passing, Iterators.', 'Generator Functions']",2,3-Feb-2023
63a2eb42889943295b7eb193,Function,"['Lambda Functions', 'Map, Reduce, Filter Functions.']",2,4-Feb-2023
63a2eb4288994377787eb196,Oops Concepts,"['Oops Basic Concepts.', 'Creating Classes', 'Pillars Of Oops', 'Inheritance']",4,5-Feb-2023
63a2eb4288994342607eb19b,Oops Concepts,['Polymorphism'],1,6-Feb-2023
63a2eb428899431bc17eb19d,Oops Concepts,['Encapsulation'],1,7-Feb-2023
63a2eb4288994343be7eb19f,Oops Concepts,['Abstraction'],1,8-Feb-2023
63a2eb42889943a86d7eb1a1,Oops Concepts,"['Decorator', 'Class Methods And Static Methods', 'Special (Magic/Dunder) Methods', 'Property Decorators - Getters, Setters, And Deletes']",4,9-Feb-2023
63a2eb4288994341b97eb1a6,Files,"['Working With Files', 'Reading And Writing Files', 'Buffered Read And Write']",3,10-Feb-2023
63a2eb4288994322e67eb1aa,Files,"['Other File Methods.', 'Logging, Debugger', 'Modules And Import Statements']",3,11-Feb-2023
63a2eb4288994385af7eb1ae,Exception Handling,"['Exceptions Handling With Try-Except', 'Custom Exception Handling']",2,12-Feb-2023
63a2eb428899436fa37eb1b1,Exception Handling,"['List Of General Use Exceptions', 'Best Practice Exception Handling']",2,13-Feb-2023
63a2eb428899430a927eb1b4,Memory Management,['Multithreading'],1,14-Feb-2023
63a2eb4288994393907eb1b6,Memory Management,['Multiprocessing'],1,15-Feb-2023
63a2eb42889943923a7eb1b8,Database,['Mysql'],1,16-Feb-2023
63a2eb428899432f4b7eb1ba,Database,['Mongo Db'],1,17-Feb-2023
63a2eb4288994315de7eb1bc,Web Api,"['What Is Web Api', 'Difference B/W Api And Web Api', 'Rest And Soap Architecture', 'Restful Services']",4,18-Feb-2023
63a2eb4288994379597eb1c1,Flask,"['Flask Introduction', 'Flask Application', 'Open Link Flask', 'App Routing Flask', 'Url Building Flask']",5,19-Feb-2023
63a2eb42889943a4437eb1c7,Flask,"['Http Methods Flask', 'Templates Flask', 'Flask Project: Food App', 'Postman']",4,20-Feb-2023
