id,title,parts,n_parts,date
63a2f02d8899435a117ec587,Course Introduction,"['Course Induction', 'Course Overview And Dashboard Description', 'Introduction Of Application Development Industry', 'Lab Introduction', 'Support System Introduction', 'Community Introduction']",6,21-Jan-2023
63a2f02d88994341de7ec58e,Computer Basics,"['What is a Computer ?', 'Classification of Computer (Based on Size, Work and Purpose)', 'Feature of Computer']",3,22-Jan-2023
63a2f02d8899434af77ec592,Components of Computer,"['I/O (Input/Output)', 'CPU', 'Memory Unit', 'Primary Memory', 'RAM', 'Hard Disk / SSD']",6,22-Jan-2023
63a2f02d889943e79f7ec599,Git and Github,"['Git foundation', 'Setting, maintaining and tracking git repos', 'Git snapshots']",3,23-Jan-2023
63a2f02d8899434efe7ec59d,Git and Github,"['Git for team management', 'Git branches', 'Git merging', 'Git and Github ecosystem']",4,24-Jan-2023
63a2f02d88994359647ec5a2,Software Installation,"['Download and Install Java', 'Download and Install Eclipse', 'Download and Install Visual Studio Code']",3,25-Jan-2023
63a2f02d88994379647ec5a6,Fundamentals of Java,"['Introduction to Programming', 'Basic feature of Java', 'Main method', 'Classes and Objects (Basics)']",4,26-Jan-2023
63a2f02d889943a3b97ec5ab,Fundamentals of Java,"['Statically typed vs Dynamically types PL', 'Variables and data types', 'Naming Convention', 'Identifiers']",4,27-Jan-2023
63a2f02d88994357717ec5b0,Operators and Loops,"['Operators in Java', 'Incrementation and Decrementation']",2,27-Jan-2023
63a2f02d8899432fa07ec5b3,Operators and Loops,"['Conditional statement', 'If - else Ternary', 'Switch case', 'Loops intro', 'for - while - do while', 'More on loops', 'Scanner class and User input in Java']",7,28-Jan-2023
63a2f02d889943c33a7ec5bb,Operators and Loops,"['Pattern programs', 'Nested loops', 'If else and nest loops to write complex patterns']",3,29-Jan-2023
63a2f02d8899436c607ec5bf,Oops Fundamentals,"['Object creation', 'Instance variable vs local variables', 'Methods with memory maps (JVM data areas)', 'Method overloading']",4,30-Jan-2023
63a2f02d889943334e7ec5c4,Array in Java,"['Why an array?', 'What is an Array?', 'How to create an array?', '1d, 2d, 3d and regular jagged with memory']",4,01-Feb-2023
63a2f02d8899436a2b7ec5c9,Array in Java,"['Different ways to create an Array', 'Buffer over run and arrayindexoutofbounds exception', 'Disadvantages of Array in Java']",3,02-Feb-2023
63a2f02d889943dfac7ec5cd,String in Java,"['String Introduction', 'Types of String', 'Immutable String and Memory Map( Constant Pool)']",3,03-Feb-2023
63a2f02d889943770b7ec5d1,String in Java,"['Ways to compare', 'Inbuilt methods in String class', 'Concatenation']",3,04-Feb-2023
63a2f02d889943a1e57ec5d5,String in Java,"['Revering String Different cases', 'Palindrome', 'Anagram program', 'Pangram program']",4,05-Feb-2023
63a2f02d8899432f0d7ec5da,String in Java,"['Mutable String', 'String Buffer vs String Builder', 'Inbuilt Methods']",3,06-Feb-2023
63a2f02d889943e8ba7ec5de,Static Keyword,"['Static keyword', 'Class loading and How java program actually executes', 'Different components in Java program']",3,07-Feb-2023
63a2f02d88994333817ec5e2,Static Keyword,"['Static variables, static methods, static block', 'Differences w.r.t Non static and static members of a class']",2,08-Feb-2023
63a2f02d88994367727ec5e5,Encapsulation,"['Need of Encapsulation', 'What is Encapsulation?', 'Private members', 'Shadowing problem and this keyword', 'Setters & Getters']",5,09-Feb-2023
63a2f02d88994395617ec5eb,Constructor,"['Constructor', 'Constructor Chaining (this() vs super() )']",2,10-Feb-2023
63a2f02d889943c2ff7ec5ee,Inheritance,"['Inheritance intro', 'extends keyword', 'Types of Inheritance', 'Important key points (5 keypoints)']",4,11-Feb-2023
63a2f02d889943998d7ec5f3,Inheritance,"['Types of methods Inherited, overidden, specialized', 'Rules to override method']",2,12-Feb-2023
63a2f02d88994320387ec5f6,Inheritance,['Constructor execution in case of Inheritance'],1,13-Feb-2023
63a2f02d8899435f2c7ec5f8,Polymorphism and Abstraction,"['What is polymorphism?', 'How to achieve polymorphism', 'Runtime vs Compile time polymorphism']",3,14-Feb-2023
63a2f02d88994392037ec5fc,Polymorphism and Abstraction,"['Abstract keyword and Abstraction', 'Abstract class and Abstract method']",2,15-Feb-2023
63a2f02d889943231b7ec5ff,final keyword in Java,"['final class', 'final variable', 'final method']",3,15-Feb-2023
63a2f02d88994373147ec603,Interface,"['What is interface?', 'Need of Interface', 'Important key points of Interface']",3,16-Feb-2023
63a2f02d8899436ab67ec607,Interface,"['Abstract vs interface', 'Additional features of Interface', 'Functional Interface']",3,17-Feb-2023
63a2f02d889943cc0f7ec60b,Lambda Expression,"['What is Lambda Expression', 'Different ways to create Lambda Expression', 'Lambda Expression excercises']",3,18-Feb-2023
63a2f02d8899434c2a7ec60f,Exception Handling,"['Different types of Errors in Java', 'What is an Exception?', 'try-catch']",3,19-Feb-2023
63a2f02d889943c88f7ec613,Exception Handling,"['Multiple catch block', 'Handling vs Ducking an Exception']",2,20-Feb-2023
63a2f02d8899433a9b7ec616,Exception Handling,"['Rethrowing an Exception(throw, throws,finally) and Custom Exception']",1,21-Feb-2023
63a2f02d8899435b447ec618,Exception Handling,"['Hierarchy of an Exception class', 'Control flow of Exception Handling concept']",2,22-Feb-2023
63a2f02d8899434a167ec61b,Exception Handling,['try with Resources'],1,23-Feb-2023
63a2f02d889943310a7ec61d,Operating System (OS),"['What is Operating System?', 'Types of Operating system', 'Single User Operating System', 'Multi User Operating System', 'Multitasking Operating System', 'Need of Multiple thread']",6,24-Feb-2023
